time,nb_alive,nb_infected,nb_healthy
0,45,5,40
1,46,5,41
2,46,5,41
3,46,5,41
4,46,5,41
5,46,5,41
6,46,5,41
7,46,5,41
8,46,5,41
9,46,5,41
10,46,5,41
11,46,5,41
12,46,5,41
13,46,5,41
14,46,5,41
15,46,5,41
16,46,5,41
17,46,5,41
18,46,5,41
19,46,5,41
20,46,5,41
21,46,5,41
22,46,5,41
23,46,5,41
24,46,5,41
25,46,5,41
26,46,5,41
27,46,5,41
28,46,5,41
29,46,5,41
30,46,5,41
31,46,5,41
32,46,5,41
33,46,5,41
34,46,5,41
35,46,5,41
36,46,5,41
37,46,5,41
38,46,5,41
39,46,5,41
40,46,5,41
41,46,5,41
42,46,5,41
43,46,5,41
44,46,5,41
45,46,5,41
46,46,5,41
47,46,5,41
48,46,5,41
49,46,5,41
50,46,5,41
51,46,5,41
52,46,5,41
53,46,5,41
54,46,5,41
55,46,5,41
56,46,5,41
57,46,5,41
58,46,5,41
59,46,5,41
60,46,5,41
61,46,5,41
62,46,5,41
63,46,5,41
64,46,5,41
65,46,5,41
66,46,5,41
67,46,5,41
68,46,5,41
69,46,5,41
70,46,5,41
71,46,5,41
72,46,5,41
73,46,5,41
74,46,5,41
75,46,5,41
76,46,5,41
77,46,5,41
78,46,5,41
79,46,5,41
80,46,5,41
81,46,5,41
82,46,5,41
83,46,5,41
84,46,5,41
85,46,5,41
86,46,5,41
87,46,5,41
88,46,5,41
89,46,5,41
90,46,5,41
91,47,5,42
92,47,5,42
93,47,5,42
94,47,5,42
95,47,5,42
96,47,5,42
97,47,5,42
98,47,5,42
99,47,5,42
100,47,5,42
101,47,5,42
102,47,5,42
103,47,5,42
104,47,5,42
105,47,5,42
106,47,5,42
107,47,5,42
108,47,5,42
109,48,5,43
110,48,5,43
111,48,5,43
112,48,5,43
113,48,5,43
114,49,5,44
115,49,5,44
116,49,5,44
117,49,6,43
118,49,6,43
119,49,6,43
120,49,6,43
121,49,6,43
122,49,6,43
123,49,6,43
124,49,6,43
125,49,6,43
126,49,6,43
127,49,6,43
128,49,6,43
129,49,6,43
130,49,6,43
131,50,6,44
132,50,6,44
133,50,6,44
134,50,6,44
135,50,6,44
136,50,6,44
137,50,6,44
138,50,6,44
139,50,6,44
140,50,6,44
141,50,6,44
142,50,6,44
143,50,6,44
144,51,6,45
145,51,6,45
146,51,6,45
147,51,6,45
148,52,6,46
149,52,6,46
150,52,6,46
151,52,6,46
152,52,6,46
153,52,6,46
154,52,6,46
155,52,6,46
156,52,6,46
157,52,6,46
158,52,6,46
159,52,6,46
160,52,6,46
161,52,6,46
162,52,6,46
163,52,6,46
164,52,6,46
165,52,6,46
166,52,6,46
167,52,6,46
168,52,6,46
169,52,6,46
170,52,6,46
171,52,6,46
172,52,6,46
173,52,6,46
174,52,6,46
175,52,6,46
176,52,6,46
177,52,6,46
178,52,6,46
179,52,6,46
180,52,6,46
181,52,6,46
182,52,6,46
183,52,6,46
184,52,6,46
185,52,6,46
186,52,6,46
187,52,6,46
188,52,6,46
189,52,6,46
190,52,6,46
191,52,6,46
192,52,6,46
193,52,6,46
194,53,6,47
195,53,6,47
196,53,6,47
197,53,6,47
198,53,6,47
199,53,6,47
200,53,6,47
201,53,6,47
202,53,6,47
203,53,6,47
204,53,6,47
205,53,7,46
206,54,7,47
207,54,7,47
208,54,7,47
209,54,7,47
210,54,8,46
211,54,8,46
212,54,8,46
213,54,8,46
214,54,8,46
215,54,8,46
216,54,8,46
217,54,8,46
218,54,8,46
219,54,8,46
220,54,8,46
221,54,8,46
222,54,8,46
223,54,8,46
224,54,8,46
225,54,8,46
226,54,8,46
227,54,8,46
228,54,8,46
229,54,8,46
230,54,8,46
231,54,8,46
232,54,8,46
233,54,8,46
234,54,8,46
235,54,8,46
236,55,8,47
237,55,8,47
238,55,8,47
239,55,8,47
240,55,8,47
241,55,8,47
242,55,8,47
243,55,8,47
244,55,8,47
245,55,8,47
246,55,8,47
247,55,8,47
248,55,8,47
249,55,8,47
250,55,8,47
251,55,8,47
252,55,8,47
253,55,8,47
254,55,8,47
255,55,8,47
256,55,8,47
257,55,8,47
258,55,8,47
259,55,8,47
260,55,8,47
261,55,8,47
262,55,8,47
263,55,8,47
264,55,8,47
265,55,8,47
266,55,8,47
267,55,8,47
268,55,8,47
269,56,8,48
270,56,8,48
271,56,8,48
272,56,8,48
273,56,8,48
274,56,8,48
275,56,8,48
276,56,8,48
277,56,8,48
278,56,8,48
279,56,8,48
280,56,8,48
281,56,8,48
282,56,8,48
283,56,8,48
284,56,8,48
285,56,8,48
286,56,8,48
287,56,8,48
288,56,8,48
289,56,8,48
290,56,8,48
291,56,8,48
292,56,8,48
293,56,8,48
294,56,8,48
295,56,8,48
296,56,8,48
297,56,8,48
298,56,8,48
299,56,8,48
300,56,8,48
301,56,8,48
302,56,8,48
303,56,8,48
304,56,8,48
305,56,8,48
306,56,8,48
307,56,8,48
308,56,8,48
309,56,8,48
310,56,8,48
311,57,8,49
312,57,8,49
313,57,8,49
314,57,8,49
315,57,8,49
316,57,8,49
317,57,8,49
318,57,8,49
319,57,8,49
320,57,8,49
321,57,8,49
322,57,8,49
323,57,8,49
324,57,8,49
325,57,8,49
326,57,8,49
327,57,8,49
328,57,8,49
329,57,8,49
330,57,8,49
331,58,8,50
332,58,8,50
333,58,8,50
334,58,8,50
335,58,8,50
336,58,8,50
337,58,8,50
338,58,8,50
339,58,8,50
340,58,8,50
341,58,8,50
342,58,8,50
343,58,8,50
344,58,8,50
345,58,8,50
346,58,8,50
347,58,8,50
348,58,8,50
349,58,8,50
350,58,8,50
351,58,8,50
352,58,8,50
353,58,8,50
354,58,8,50
355,58,8,50
356,58,8,50
357,58,8,50
358,58,8,50
359,58,8,50
360,58,8,50
361,58,8,50
362,58,8,50
363,58,8,50
364,58,8,50
365,58,8,50
366,58,8,50
367,58,8,50
368,58,8,50
369,58,8,50
370,58,8,50
371,58,8,50
372,58,8,50
373,58,8,50
374,58,8,50
375,58,8,50
376,58,8,50
377,58,8,50
378,58,8,50
379,58,8,50
380,58,8,50
381,58,8,50
382,58,8,50
383,58,8,50
384,58,8,50
385,58,8,50
386,58,8,50
387,58,8,50
388,59,8,51
389,59,8,51
390,59,8,51
391,59,8,51
392,59,8,51
393,59,8,51
394,59,8,51
395,59,8,51
396,59,8,51
397,59,8,51
398,59,8,51
399,59,8,51
400,59,8,51
401,59,8,51
402,59,8,51
403,59,8,51
404,60,8,52
405,60,8,52
406,60,8,52
407,60,8,52
408,60,8,52
409,60,8,52
410,60,8,52
411,60,8,52
412,61,8,53
413,61,8,53
414,61,8,53
415,61,8,53
416,61,8,53
417,62,8,54
418,62,8,54
419,62,8,54
420,62,8,54
421,62,8,54
422,62,8,54
423,62,8,54
424,62,8,54
425,62,8,54
426,62,8,54
427,62,8,54
428,62,8,54
429,62,8,54
430,62,8,54
431,62,8,54
432,62,8,54
433,62,8,54
434,62,8,54
435,62,8,54
436,62,8,54
437,62,8,54
438,62,8,54
439,62,8,54
440,62,8,54
441,62,9,53
442,62,9,53
443,62,9,53
444,62,9,53
445,62,9,53
446,62,9,53
447,62,9,53
448,62,9,53
449,62,9,53
450,62,9,53
451,62,9,53
452,62,9,53
453,62,9,53
454,63,9,54
455,63,9,54
456,63,9,54
457,63,9,54
458,63,9,54
459,64,9,55
460,65,9,56
461,66,10,56
462,66,10,56
463,66,11,55
464,66,11,55
465,66,11,55
466,66,12,54
467,66,12,54
468,66,12,54
469,66,12,54
470,66,12,54
471,66,12,54
472,66,12,54
473,66,12,54
474,66,12,54
475,66,12,54
476,66,12,54
477,66,12,54
478,66,12,54
479,66,12,54
480,66,12,54
481,66,12,54
482,66,12,54
483,66,12,54
484,66,12,54
485,66,12,54
486,66,12,54
487,67,12,55
488,67,12,55
489,67,12,55
490,67,12,55
491,67,12,55
492,67,12,55
493,67,12,55
494,67,12,55
495,67,12,55
496,67,12,55
497,67,12,55
498,67,12,55
499,67,12,55
500,67,12,55
501,67,12,55
502,67,12,55
503,67,12,55
504,67,12,55
505,67,12,55
506,67,12,55
507,67,12,55
508,67,12,55
509,67,12,55
510,67,12,55
511,67,12,55
512,67,12,55
513,67,12,55
514,68,12,56
515,68,12,56
516,68,12,56
517,68,12,56
518,68,12,56
519,68,12,56
520,68,12,56
521,68,12,56
522,68,12,56
523,68,12,56
524,68,12,56
525,68,12,56
526,68,12,56
527,68,12,56
528,68,12,56
529,69,13,56
530,69,13,56
531,69,14,55
532,70,14,56
533,70,14,56
534,70,14,56
535,70,14,56
536,70,14,56
537,70,14,56
538,70,14,56
539,70,14,56
540,70,14,56
541,70,14,56
542,70,14,56
543,70,14,56
544,70,14,56
545,70,14,56
546,70,14,56
547,70,14,56
548,70,14,56
549,70,14,56
550,70,14,56
551,70,14,56
552,70,14,56
553,70,14,56
554,70,14,56
555,70,14,56
556,70,14,56
557,71,14,57
558,71,15,56
559,71,15,56
560,71,16,55
561,71,16,55
562,71,16,55
563,71,16,55
564,71,16,55
565,71,16,55
566,72,16,56
567,72,16,56
568,72,16,56
569,73,16,57
570,73,16,57
571,73,16,57
572,73,16,57
573,73,16,57
574,73,16,57
575,73,16,57
576,73,16,57
577,73,16,57
578,73,16,57
579,74,16,58
580,74,16,58
581,74,16,58
582,74,17,57
583,74,17,57
584,74,17,57
585,74,17,57
586,74,17,57
587,75,18,57
588,75,18,57
589,75,18,57
590,75,18,57
591,75,18,57
592,75,18,57
593,75,18,57
594,75,18,57
595,75,18,57
596,75,18,57
597,75,18,57
598,75,18,57
599,75,18,57
600,75,18,57
601,75,18,57
602,75,18,57
603,75,18,57
604,75,18,57
605,75,18,57
606,75,18,57
607,75,18,57
608,75,18,57
609,75,18,57
610,76,18,58
611,76,18,58
612,76,18,58
613,76,18,58
614,76,18,58
615,76,18,58
616,76,18,58
617,76,18,58
618,76,18,58
619,76,18,58
620,76,18,58
621,78,18,60
622,78,18,60
623,78,18,60
624,78,18,60
625,78,18,60
626,78,18,60
627,78,18,60
628,78,18,60
629,78,18,60
630,78,18,60
631,79,18,61
632,80,18,62
633,80,18,62
634,80,18,62
635,80,18,62
636,80,18,62
637,80,18,62
638,80,18,62
639,80,18,62
640,80,18,62
641,80,18,62
642,80,18,62
643,80,18,62
644,80,18,62
645,80,18,62
646,80,18,62
647,80,18,62
648,80,18,62
649,80,18,62
650,80,18,62
651,80,18,62
652,80,18,62
653,80,18,62
654,80,18,62
655,81,18,63
656,81,18,63
657,81,18,63
658,81,18,63
659,82,18,64
660,82,18,64
661,82,18,64
662,82,18,64
663,82,18,64
664,83,18,65
665,83,18,65
666,84,19,65
667,84,19,65
668,84,19,65
669,84,19,65
670,84,19,65
671,84,19,65
672,84,19,65
673,84,19,65
674,84,19,65
675,84,19,65
676,84,19,65
677,84,19,65
678,84,19,65
679,84,19,65
680,84,19,65
681,84,19,65
682,84,19,65
683,84,19,65
684,84,19,65
685,84,19,65
686,84,19,65
687,84,19,65
688,84,19,65
689,84,19,65
690,84,19,65
691,84,19,65
692,84,19,65
693,84,19,65
694,84,19,65
695,84,19,65
696,84,19,65
697,84,19,65
698,84,19,65
699,86,19,67
700,86,21,65
701,86,21,65
702,86,22,64
703,86,22,64
704,86,22,64
705,86,22,64
706,86,22,64
707,86,22,64
708,86,22,64
709,87,22,65
710,87,22,65
711,87,22,65
712,87,22,65
713,88,22,66
714,88,22,66
715,88,22,66
