time,nb_alive,nb_infected,nb_healthy
0,150,1,149
1,150,1,149
2,150,1,149
3,150,1,149
4,150,1,149
5,150,1,149
6,150,1,149
7,150,1,149
8,150,1,149
9,150,1,149
10,150,1,149
11,150,1,149
12,150,1,149
13,150,1,149
14,150,1,149
15,150,1,149
16,150,1,149
17,150,1,149
18,150,1,149
19,150,1,149
20,150,1,149
21,150,1,149
22,150,1,149
23,150,1,149
24,150,1,149
25,150,1,149
26,150,1,149
27,150,1,149
28,150,1,149
29,150,1,149
30,150,1,149
31,150,1,149
32,150,1,149
33,150,1,149
34,150,1,149
35,150,1,149
36,150,1,149
37,150,1,149
38,150,1,149
39,150,1,149
40,150,1,149
41,150,1,149
42,150,1,149
43,150,1,149
44,150,1,149
45,150,1,149
46,150,1,149
47,150,1,149
48,150,1,149
49,150,1,149
50,150,1,149
51,150,1,149
52,150,1,149
53,150,1,149
54,150,1,149
55,150,1,149
56,150,1,149
57,150,1,149
58,150,1,149
59,150,1,149
60,150,1,149
61,150,1,149
62,150,1,149
63,150,1,149
64,150,1,149
65,150,1,149
66,150,1,149
67,150,1,149
68,150,1,149
69,150,1,149
70,150,1,149
71,150,1,149
72,150,1,149
73,150,1,149
74,150,1,149
75,150,1,149
76,150,1,149
77,150,1,149
78,150,1,149
79,150,1,149
80,150,1,149
81,150,1,149
82,150,1,149
83,150,1,149
84,150,1,149
85,150,1,149
86,150,1,149
87,150,1,149
88,150,1,149
89,150,1,149
90,150,1,149
91,150,1,149
92,150,1,149
93,150,1,149
94,150,1,149
95,150,1,149
96,150,1,149
97,150,1,149
98,150,1,149
99,150,1,149
100,150,1,149
101,150,1,149
102,150,1,149
103,150,1,149
104,150,1,149
105,150,1,149
106,150,1,149
107,150,1,149
108,150,1,149
109,150,1,149
110,150,1,149
111,150,1,149
112,150,1,149
113,150,1,149
114,150,1,149
115,150,1,149
116,150,1,149
117,150,1,149
118,150,1,149
119,150,1,149
120,150,1,149
121,150,1,149
122,150,1,149
123,150,1,149
124,150,1,149
125,150,1,149
126,150,1,149
127,150,1,149
128,150,1,149
129,150,1,149
130,150,1,149
131,150,1,149
132,150,1,149
133,150,1,149
134,150,1,149
135,150,1,149
136,150,1,149
137,150,1,149
138,150,1,149
139,150,1,149
140,150,1,149
141,150,1,149
142,150,1,149
143,150,1,149
144,150,1,149
145,150,1,149
146,150,1,149
147,150,1,149
148,150,1,149
149,150,1,149
150,150,1,149
151,150,1,149
152,150,1,149
153,150,1,149
154,150,1,149
155,150,1,149
156,150,1,149
157,150,1,149
158,150,1,149
159,150,1,149
160,150,1,149
161,150,1,149
162,150,1,149
163,150,1,149
164,150,1,149
165,150,1,149
166,150,1,149
167,150,1,149
168,150,1,149
169,150,1,149
170,150,1,149
171,150,1,149
172,150,1,149
173,150,1,149
174,150,1,149
175,150,1,149
176,150,1,149
177,150,1,149
178,150,1,149
179,150,1,149
180,150,1,149
181,150,1,149
182,150,1,149
183,150,1,149
184,150,1,149
185,150,1,149
186,150,1,149
187,150,1,149
188,150,1,149
189,150,1,149
190,150,1,149
191,150,1,149
192,150,1,149
193,150,1,149
194,150,1,149
195,150,1,149
196,150,1,149
197,150,1,149
198,150,1,149
199,150,1,149
200,150,1,149
201,150,1,149
202,150,1,149
203,150,1,149
204,150,1,149
205,150,1,149
206,150,1,149
207,150,1,149
208,150,1,149
209,150,1,149
210,150,1,149
211,150,1,149
212,150,1,149
213,150,1,149
214,150,1,149
215,150,1,149
216,150,1,149
217,150,1,149
218,150,1,149
219,150,1,149
220,150,1,149
221,150,1,149
222,150,1,149
223,150,1,149
224,150,1,149
225,150,1,149
226,150,1,149
227,150,1,149
228,150,1,149
229,150,1,149
230,150,1,149
231,150,1,149
232,150,1,149
233,150,1,149
234,150,1,149
235,150,1,149
236,150,1,149
237,150,1,149
238,150,1,149
239,150,1,149
240,150,1,149
241,150,1,149
242,150,1,149
243,150,1,149
244,150,1,149
245,150,1,149
246,150,1,149
247,150,1,149
248,150,1,149
249,150,1,149
250,150,1,149
251,150,1,149
252,150,1,149
253,150,1,149
254,150,1,149
255,150,1,149
256,150,1,149
257,150,1,149
258,150,1,149
259,150,1,149
260,150,1,149
261,150,1,149
262,150,1,149
263,150,1,149
264,150,1,149
265,150,1,149
266,150,1,149
267,150,1,149
268,150,1,149
269,150,1,149
270,150,1,149
271,150,1,149
272,150,1,149
273,150,1,149
274,150,1,149
275,150,1,149
276,150,1,149
277,150,1,149
278,150,1,149
279,150,1,149
280,150,1,149
281,150,1,149
282,150,1,149
283,150,1,149
284,150,1,149
285,150,1,149
286,150,1,149
287,150,1,149
288,150,1,149
289,150,1,149
290,150,1,149
291,150,1,149
292,150,1,149
293,150,1,149
294,150,1,149
295,150,1,149
296,150,1,149
297,150,1,149
298,150,1,149
299,150,1,149
300,150,1,149
301,150,1,149
302,150,1,149
303,150,1,149
304,150,1,149
305,150,1,149
306,150,1,149
307,150,1,149
308,150,1,149
309,150,1,149
310,150,1,149
311,150,1,149
312,150,1,149
313,150,1,149
314,150,1,149
315,150,1,149
316,150,1,149
317,150,1,149
318,150,1,149
319,150,1,149
320,150,1,149
321,150,1,149
322,150,1,149
323,150,1,149
324,150,1,149
325,150,1,149
326,150,1,149
327,150,1,149
328,150,1,149
329,150,1,149
330,150,1,149
331,150,1,149
332,150,1,149
333,150,1,149
334,150,1,149
335,150,1,149
336,150,1,149
337,150,1,149
338,150,1,149
339,150,1,149
340,150,1,149
341,150,1,149
342,150,1,149
343,150,1,149
344,150,1,149
345,150,1,149
346,150,1,149
347,150,1,149
348,150,1,149
349,150,1,149
350,150,1,149
351,150,1,149
352,150,1,149
353,150,1,149
354,150,1,149
355,150,1,149
356,150,1,149
357,150,1,149
358,150,1,149
359,150,1,149
360,150,1,149
361,150,1,149
362,150,1,149
363,150,1,149
364,150,1,149
365,150,1,149
366,150,1,149
367,150,1,149
368,150,1,149
369,150,1,149
370,150,1,149
371,150,1,149
372,150,1,149
373,150,1,149
374,150,1,149
375,150,1,149
376,150,1,149
377,150,1,149
378,150,1,149
379,150,1,149
380,150,1,149
381,150,1,149
382,150,1,149
383,150,1,149
384,150,1,149
385,150,1,149
386,150,1,149
387,150,1,149
388,150,1,149
389,150,1,149
390,150,1,149
391,150,1,149
392,150,1,149
393,150,1,149
394,150,1,149
395,150,1,149
396,150,1,149
397,150,1,149
398,150,1,149
399,150,1,149
400,150,1,149
401,150,1,149
402,150,1,149
403,150,1,149
404,150,1,149
405,150,1,149
406,150,1,149
407,150,1,149
408,150,1,149
409,150,1,149
410,150,1,149
411,150,1,149
412,150,1,149
413,150,1,149
414,150,1,149
415,150,1,149
416,150,1,149
417,150,1,149
418,150,1,149
419,150,1,149
420,150,1,149
421,150,1,149
422,150,1,149
423,150,1,149
424,150,1,149
425,150,1,149
426,150,1,149
427,150,1,149
428,150,1,149
429,150,1,149
430,150,1,149
431,150,1,149
432,150,1,149
433,150,1,149
434,150,1,149
435,150,1,149
436,150,1,149
437,150,1,149
438,150,1,149
439,150,1,149
440,150,1,149
441,150,1,149
442,150,1,149
443,150,1,149
444,150,1,149
445,150,1,149
446,150,1,149
447,150,1,149
448,150,1,149
449,150,1,149
450,150,1,149
451,150,1,149
452,150,1,149
453,150,1,149
454,150,1,149
455,150,1,149
456,150,1,149
457,150,1,149
458,150,1,149
459,150,1,149
460,150,1,149
461,150,1,149
462,150,1,149
463,150,1,149
464,150,1,149
465,150,1,149
466,150,1,149
467,150,1,149
468,150,1,149
469,150,1,149
470,150,1,149
471,150,1,149
472,150,1,149
473,150,1,149
474,150,1,149
475,150,1,149
476,150,1,149
477,150,1,149
478,150,1,149
479,150,1,149
480,150,1,149
481,150,1,149
482,150,1,149
483,150,1,149
484,150,1,149
485,150,1,149
486,150,1,149
487,150,1,149
488,150,1,149
489,150,1,149
490,150,1,149
491,150,1,149
492,150,1,149
493,150,1,149
494,150,1,149
495,150,1,149
496,150,1,149
497,150,1,149
498,150,1,149
499,150,1,149
500,150,1,149
501,150,1,149
502,150,1,149
503,150,1,149
504,150,1,149
505,150,1,149
506,150,1,149
507,150,1,149
508,150,1,149
509,150,1,149
510,150,1,149
511,150,1,149
512,150,1,149
513,150,1,149
514,150,1,149
515,150,1,149
516,150,1,149
517,150,1,149
518,150,1,149
519,150,1,149
520,150,1,149
521,150,1,149
522,150,1,149
523,150,1,149
524,150,1,149
525,150,1,149
526,150,1,149
527,150,1,149
528,150,1,149
529,150,1,149
530,150,1,149
531,150,1,149
532,150,1,149
533,150,1,149
534,150,1,149
535,150,1,149
536,150,1,149
537,150,1,149
538,150,1,149
539,150,1,149
540,150,1,149
541,150,1,149
542,150,1,149
543,150,1,149
544,150,1,149
545,150,1,149
546,150,1,149
547,150,1,149
548,150,1,149
549,150,1,149
550,150,1,149
551,150,1,149
552,150,1,149
553,150,1,149
554,150,1,149
555,150,1,149
556,150,1,149
557,150,1,149
558,150,1,149
559,150,1,149
560,150,1,149
561,150,1,149
562,150,1,149
563,150,1,149
564,150,1,149
565,150,1,149
566,150,1,149
567,150,1,149
568,150,1,149
569,150,1,149
570,150,1,149
571,150,1,149
572,150,1,149
573,150,1,149
574,150,1,149
575,150,1,149
576,150,1,149
577,150,1,149
578,150,1,149
579,150,1,149
580,150,1,149
581,150,1,149
582,150,1,149
583,150,1,149
584,150,1,149
585,150,1,149
586,150,1,149
587,150,1,149
588,150,1,149
589,150,1,149
590,150,1,149
591,150,1,149
592,150,1,149
593,150,1,149
594,150,1,149
595,150,1,149
596,150,1,149
597,150,1,149
598,150,1,149
599,150,1,149
600,150,1,149
601,150,1,149
602,150,1,149
603,150,1,149
604,150,1,149
605,150,1,149
606,150,1,149
607,150,1,149
608,150,1,149
609,150,1,149
610,150,1,149
611,150,1,149
612,150,1,149
613,150,1,149
614,150,1,149
615,150,1,149
616,150,1,149
617,150,1,149
618,150,1,149
619,150,1,149
620,150,1,149
621,150,1,149
622,150,1,149
623,150,1,149
624,150,1,149
625,150,1,149
626,150,1,149
627,150,1,149
628,150,1,149
629,150,1,149
630,150,1,149
631,150,1,149
632,150,1,149
633,150,1,149
634,150,1,149
635,150,1,149
636,150,1,149
637,150,1,149
638,150,1,149
639,150,1,149
640,150,1,149
641,150,1,149
642,150,1,149
643,150,1,149
644,150,1,149
645,150,1,149
646,150,1,149
647,150,1,149
648,150,1,149
649,150,1,149
650,150,1,149
651,150,1,149
652,150,1,149
653,150,1,149
654,150,1,149
655,150,1,149
656,150,1,149
657,150,1,149
658,150,1,149
659,150,1,149
660,150,1,149
661,150,1,149
662,150,1,149
663,150,1,149
664,150,1,149
665,150,1,149
666,150,1,149
667,150,1,149
668,150,1,149
669,150,1,149
670,150,1,149
671,150,1,149
672,150,1,149
673,150,1,149
674,150,1,149
675,150,1,149
676,150,1,149
677,150,1,149
678,150,1,149
679,150,1,149
680,150,1,149
681,150,1,149
682,150,1,149
683,150,1,149
684,150,1,149
685,150,1,149
686,150,1,149
687,150,1,149
688,150,1,149
689,150,1,149
690,150,1,149
691,150,1,149
692,150,1,149
693,150,1,149
694,150,1,149
695,150,1,149
696,150,1,149
697,150,1,149
698,150,1,149
699,150,1,149
700,150,1,149
701,150,1,149
702,150,1,149
703,150,1,149
704,150,1,149
705,150,1,149
706,150,1,149
707,150,1,149
708,150,1,149
709,150,1,149
710,150,1,149
711,150,1,149
712,150,1,149
713,150,1,149
714,150,1,149
715,150,1,149
716,150,1,149
717,150,1,149
718,150,1,149
719,150,1,149
720,150,1,149
721,150,1,149
722,150,1,149
723,150,1,149
724,150,1,149
725,150,1,149
726,150,1,149
727,150,1,149
728,150,1,149
729,150,1,149
730,150,1,149
731,150,1,149
732,150,1,149
733,150,1,149
734,150,1,149
735,150,1,149
736,150,1,149
737,150,1,149
738,150,1,149
739,150,1,149
740,150,1,149
