time,nb_alive,nb_infected,nb_healthy
0,100,10,90
1,100,10,90
2,100,10,90
3,100,10,90
4,100,10,90
5,100,10,90
6,100,10,90
7,100,10,90
8,100,10,90
9,100,10,90
10,100,10,90
11,100,10,90
12,100,10,90
13,100,10,90
14,100,10,90
15,100,10,90
16,100,10,90
17,100,10,90
18,100,10,90
19,100,10,90
20,100,10,90
21,100,10,90
22,100,10,90
23,100,10,90
24,100,10,90
25,100,10,90
26,100,10,90
27,100,10,90
28,100,10,90
29,100,10,90
30,100,10,90
31,100,10,90
32,100,10,90
33,100,10,90
34,100,10,90
35,100,10,90
36,100,10,90
37,100,10,90
38,100,10,90
39,100,10,90
40,100,10,90
41,100,10,90
42,100,10,90
43,100,10,90
44,100,10,90
45,100,10,90
46,100,10,90
47,100,10,90
48,100,10,90
49,100,10,90
50,100,10,90
51,100,10,90
52,100,10,90
53,100,10,90
54,100,10,90
55,100,10,90
56,100,10,90
57,100,10,90
58,100,10,90
59,100,10,90
60,100,10,90
61,100,10,90
62,100,10,90
63,100,10,90
64,100,10,90
65,100,10,90
66,100,10,90
67,100,10,90
68,100,10,90
69,100,10,90
70,100,10,90
71,100,10,90
72,100,10,90
73,100,10,90
74,100,10,90
75,100,10,90
76,100,10,90
77,100,10,90
78,100,10,90
79,100,10,90
80,100,10,90
81,100,10,90
82,100,10,90
83,100,10,90
84,100,10,90
85,100,10,90
86,100,10,90
87,100,10,90
88,100,10,90
89,100,10,90
90,100,10,90
91,100,10,90
92,100,10,90
93,100,10,90
94,100,10,90
95,100,10,90
96,100,10,90
97,100,10,90
98,100,10,90
99,100,10,90
100,100,10,90
101,100,10,90
102,100,10,90
103,100,10,90
104,100,10,90
105,100,10,90
106,100,10,90
107,100,10,90
108,100,10,90
109,100,10,90
110,100,10,90
111,100,10,90
112,100,10,90
113,100,10,90
114,100,10,90
115,100,10,90
116,100,9,91
117,100,9,91
118,100,9,91
119,100,9,91
120,100,9,91
121,100,9,91
122,100,9,91
123,100,9,91
124,100,9,91
125,100,10,90
126,100,10,90
127,100,9,91
128,100,9,91
129,100,8,92
130,100,8,92
131,100,8,92
132,100,8,92
133,100,8,92
134,100,7,93
135,100,7,93
136,100,7,93
137,100,7,93
138,100,7,93
139,100,7,93
140,100,7,93
141,100,6,94
142,100,6,94
143,100,6,94
144,100,6,94
145,100,6,94
146,100,6,94
147,100,6,94
148,100,6,94
149,100,6,94
150,100,6,94
151,100,6,94
152,100,6,94
153,100,6,94
154,100,6,94
155,100,6,94
156,100,5,95
157,100,5,95
158,100,5,95
159,100,5,95
160,100,5,95
161,100,5,95
162,100,5,95
163,100,5,95
164,100,5,95
165,100,5,95
166,100,5,95
167,100,5,95
168,100,5,95
169,100,5,95
170,100,5,95
171,100,5,95
172,100,5,95
173,100,5,95
174,100,5,95
175,100,5,95
176,100,5,95
177,100,5,95
178,100,5,95
179,100,5,95
180,100,5,95
181,100,5,95
182,100,5,95
183,100,5,95
184,100,5,95
185,100,5,95
186,100,5,95
187,100,5,95
188,100,5,95
189,100,5,95
190,100,5,95
191,100,5,95
192,100,5,95
193,100,5,95
194,100,5,95
195,100,5,95
196,100,5,95
197,100,5,95
198,100,5,95
199,100,5,95
200,100,4,96
201,100,4,96
202,100,4,96
203,100,4,96
204,100,3,97
205,100,3,97
206,100,3,97
207,100,3,97
208,100,3,97
209,100,3,97
210,100,3,97
211,100,3,97
212,100,3,97
213,100,3,97
214,100,3,97
215,100,3,97
216,100,3,97
217,100,3,97
218,100,3,97
219,100,3,97
220,100,3,97
221,100,3,97
222,100,3,97
223,100,3,97
224,100,3,97
225,100,3,97
226,100,3,97
227,100,3,97
228,100,3,97
229,100,3,97
230,100,3,97
231,100,3,97
232,100,3,97
233,100,3,97
234,100,3,97
235,100,3,97
236,100,3,97
237,100,3,97
238,100,3,97
239,100,3,97
240,100,3,97
241,100,3,97
242,100,3,97
243,100,3,97
244,100,3,97
245,100,3,97
246,100,3,97
247,100,3,97
248,100,3,97
249,100,3,97
250,100,3,97
251,100,3,97
252,100,3,97
253,100,2,98
254,100,2,98
255,100,2,98
256,100,2,98
257,100,2,98
258,100,2,98
259,100,2,98
260,100,1,99
261,100,1,99
262,100,1,99
263,100,1,99
264,100,1,99
265,100,1,99
266,100,1,99
267,100,1,99
268,100,1,99
269,100,1,99
270,100,1,99
271,100,1,99
272,100,1,99
273,100,1,99
274,100,1,99
275,100,1,99
276,100,1,99
277,100,1,99
278,100,1,99
279,100,1,99
280,100,1,99
281,100,1,99
282,100,1,99
283,100,1,99
284,100,1,99
285,100,1,99
286,100,1,99
287,100,1,99
288,100,1,99
289,100,1,99
290,100,1,99
291,100,1,99
292,100,1,99
293,100,1,99
294,100,1,99
295,100,1,99
296,100,1,99
297,100,1,99
298,100,1,99
299,100,2,98
300,100,2,98
301,100,2,98
302,100,2,98
303,100,2,98
304,100,2,98
305,100,2,98
306,100,2,98
307,100,2,98
308,100,2,98
309,100,2,98
310,100,2,98
311,100,2,98
312,100,2,98
313,100,2,98
314,100,2,98
315,100,2,98
316,100,2,98
317,100,2,98
318,100,2,98
319,100,2,98
320,100,2,98
321,100,2,98
322,100,2,98
323,100,2,98
324,100,2,98
325,100,2,98
326,100,1,99
327,100,1,99
328,100,1,99
329,100,1,99
330,100,1,99
331,100,1,99
332,100,1,99
333,100,1,99
334,100,1,99
335,100,1,99
336,100,1,99
337,100,1,99
338,100,1,99
339,100,1,99
340,100,1,99
341,100,1,99
342,100,1,99
343,100,1,99
344,100,1,99
345,100,1,99
346,100,1,99
347,100,1,99
348,100,1,99
349,100,1,99
350,100,1,99
351,100,1,99
352,100,1,99
353,100,1,99
354,100,1,99
355,100,1,99
356,100,1,99
357,100,1,99
358,100,1,99
359,100,1,99
360,100,1,99
361,100,1,99
362,100,1,99
363,100,1,99
364,100,1,99
365,100,1,99
366,100,1,99
367,100,1,99
368,100,1,99
369,100,1,99
370,100,1,99
371,100,1,99
372,100,1,99
373,100,1,99
374,100,1,99
375,100,1,99
376,100,1,99
377,100,1,99
378,100,1,99
379,100,1,99
380,100,1,99
381,100,1,99
382,100,1,99
383,100,1,99
384,100,1,99
385,100,1,99
386,100,1,99
387,100,1,99
388,100,1,99
389,100,1,99
390,100,1,99
391,100,1,99
392,100,1,99
393,100,1,99
394,100,1,99
395,100,1,99
396,100,1,99
397,100,1,99
398,100,1,99
399,100,1,99
400,100,1,99
401,100,1,99
402,100,1,99
403,100,1,99
404,100,1,99
405,100,1,99
406,100,1,99
407,100,1,99
408,100,1,99
409,100,1,99
410,100,1,99
411,100,1,99
412,100,1,99
413,100,1,99
414,100,1,99
415,100,1,99
416,100,1,99
417,100,1,99
418,100,1,99
419,100,1,99
420,100,1,99
421,100,1,99
422,100,1,99
423,100,1,99
424,100,1,99
425,100,1,99
426,100,1,99
427,100,1,99
428,100,1,99
429,100,1,99
430,100,1,99
431,100,1,99
432,100,1,99
433,100,1,99
434,100,1,99
435,100,1,99
436,100,1,99
437,100,1,99
438,100,1,99
439,100,1,99
440,100,1,99
441,100,1,99
442,100,1,99
443,100,1,99
444,100,1,99
445,100,1,99
446,100,1,99
447,100,1,99
448,100,1,99
449,100,1,99
450,100,1,99
451,100,1,99
452,100,1,99
453,100,1,99
454,100,1,99
455,100,1,99
456,100,1,99
457,100,1,99
458,100,1,99
459,100,1,99
460,100,1,99
461,100,1,99
462,100,1,99
463,100,1,99
464,100,1,99
465,100,1,99
466,100,1,99
467,100,1,99
468,100,1,99
469,100,1,99
470,100,1,99
471,100,1,99
472,100,1,99
473,100,1,99
474,100,1,99
475,100,1,99
476,100,1,99
477,100,1,99
478,100,1,99
479,100,1,99
480,100,1,99
481,100,1,99
482,100,1,99
483,100,1,99
484,100,1,99
485,100,1,99
486,100,1,99
487,100,1,99
488,100,1,99
489,100,1,99
490,100,1,99
491,100,1,99
492,100,1,99
493,100,1,99
494,100,1,99
495,100,1,99
496,100,1,99
497,100,1,99
498,100,1,99
499,100,1,99
500,100,0,100
501,100,0,100
502,100,0,100
503,100,0,100
504,100,0,100
505,100,0,100
506,100,0,100
507,100,0,100
508,100,0,100
509,100,0,100
510,100,0,100
511,100,0,100
512,100,0,100
513,100,0,100
514,100,0,100
515,100,0,100
516,100,0,100
517,100,0,100
518,100,0,100
519,100,0,100
520,100,0,100
521,100,0,100
522,100,0,100
523,100,0,100
524,100,0,100
525,100,0,100
526,100,0,100
527,100,0,100
528,100,0,100
529,100,0,100
530,100,0,100
531,100,0,100
532,100,0,100
533,100,0,100
534,100,0,100
535,100,0,100
536,100,0,100
537,100,0,100
538,100,0,100
539,100,0,100
540,100,0,100
541,100,0,100
542,100,0,100
543,100,0,100
544,100,0,100
545,100,0,100
546,100,0,100
547,100,0,100
548,100,0,100
549,100,0,100
550,100,0,100
551,100,0,100
552,100,0,100
553,100,0,100
554,100,0,100
555,100,0,100
556,100,0,100
557,100,0,100
558,100,0,100
559,100,0,100
560,100,0,100
561,100,0,100
562,100,0,100
563,100,0,100
564,100,0,100
565,100,0,100
566,100,0,100
567,100,0,100
568,100,0,100
569,100,0,100
570,100,0,100
571,100,0,100
572,100,0,100
573,100,0,100
574,100,0,100
575,100,0,100
576,100,0,100
577,100,0,100
578,100,0,100
579,100,0,100
580,100,0,100
581,100,0,100
582,100,0,100
583,100,0,100
584,100,0,100
585,100,0,100
586,100,0,100
587,100,0,100
588,100,0,100
589,100,0,100
590,100,0,100
591,100,0,100
592,100,0,100
593,100,0,100
594,100,0,100
595,100,0,100
596,100,0,100
597,100,0,100
598,100,0,100
599,100,0,100
600,100,0,100
601,100,0,100
602,100,0,100
603,100,0,100
604,100,0,100
605,100,0,100
606,100,0,100
607,100,0,100
608,100,0,100
609,100,0,100
610,100,0,100
611,100,0,100
612,100,0,100
613,100,0,100
614,100,0,100
615,100,0,100
616,100,0,100
617,100,0,100
618,100,0,100
619,100,0,100
620,100,0,100
621,100,0,100
622,100,0,100
623,100,0,100
624,100,0,100
625,100,0,100
626,100,0,100
627,100,0,100
628,100,0,100
629,100,0,100
630,100,0,100
631,100,0,100
632,100,0,100
633,100,0,100
634,100,0,100
635,100,0,100
636,100,0,100
637,100,0,100
638,100,0,100
639,100,0,100
640,100,0,100
641,100,0,100
642,100,0,100
643,100,0,100
644,100,0,100
645,100,0,100
646,100,0,100
647,100,0,100
648,100,0,100
649,100,0,100
650,100,0,100
651,100,0,100
652,100,0,100
653,100,0,100
654,100,0,100
655,100,0,100
656,100,0,100
657,100,0,100
658,100,0,100
659,100,0,100
660,100,0,100
661,100,0,100
662,100,0,100
663,100,0,100
664,100,0,100
665,100,0,100
666,100,0,100
667,100,0,100
668,100,0,100
669,100,0,100
670,100,0,100
671,100,0,100
672,100,0,100
673,100,0,100
674,100,0,100
675,100,0,100
676,100,0,100
677,100,0,100
678,100,0,100
679,100,0,100
680,100,0,100
681,100,0,100
682,100,0,100
683,100,0,100
684,100,0,100
685,100,0,100
686,100,0,100
687,100,0,100
688,100,0,100
689,100,0,100
690,100,0,100
691,100,0,100
692,100,0,100
693,100,0,100
694,100,0,100
695,100,0,100
696,100,0,100
697,100,0,100
698,100,0,100
699,100,0,100
700,100,0,100
701,100,0,100
702,100,0,100
703,100,0,100
704,100,0,100
705,100,0,100
706,100,0,100
707,100,0,100
708,100,0,100
709,100,0,100
710,100,0,100
711,100,0,100
712,100,0,100
713,100,0,100
714,100,0,100
715,100,0,100
716,100,0,100
717,100,0,100
718,100,0,100
719,100,0,100
720,100,0,100
721,100,0,100
722,100,0,100
723,100,0,100
724,100,0,100
725,100,0,100
726,100,0,100
727,100,0,100
728,100,0,100
729,100,0,100
730,100,0,100
731,100,0,100
732,100,0,100
733,100,0,100
734,100,0,100
735,100,0,100
736,100,0,100
737,100,0,100
738,100,0,100
739,100,0,100
740,100,0,100
741,100,0,100
742,100,0,100
743,100,0,100
744,100,0,100
745,100,0,100
746,100,0,100
747,100,0,100
748,100,0,100
749,100,0,100
750,100,0,100
751,100,0,100
752,100,0,100
753,100,0,100
754,100,0,100
755,100,0,100
756,100,0,100
757,100,0,100
758,100,0,100
759,100,0,100
760,100,0,100
761,100,0,100
762,100,0,100
763,100,0,100
764,100,0,100
765,100,0,100
766,100,0,100
767,100,0,100
768,100,0,100
769,100,0,100
770,100,0,100
771,100,0,100
772,100,0,100
773,100,0,100
774,100,0,100
775,100,0,100
776,100,0,100
777,100,0,100
778,100,0,100
779,100,0,100
780,100,0,100
781,100,0,100
782,100,0,100
783,100,0,100
784,100,0,100
785,100,0,100
786,100,0,100
787,100,0,100
788,100,0,100
789,100,0,100
790,100,0,100
791,100,0,100
792,100,0,100
793,100,0,100
794,100,0,100
795,100,0,100
796,100,0,100
797,100,0,100
798,100,0,100
799,100,0,100
800,100,0,100
801,100,0,100
802,100,0,100
803,100,0,100
804,100,0,100
805,100,0,100
806,100,0,100
807,100,0,100
808,100,0,100
809,100,0,100
810,100,0,100
811,100,0,100
812,100,0,100
813,100,0,100
814,100,0,100
815,100,0,100
816,100,0,100
817,100,0,100
818,100,0,100
819,100,0,100
820,100,0,100
821,100,0,100
822,100,0,100
823,100,0,100
824,100,0,100
825,100,0,100
826,100,0,100
827,100,0,100
828,100,0,100
829,100,0,100
830,100,0,100
831,100,0,100
832,100,0,100
833,100,0,100
834,100,0,100
835,100,0,100
836,100,0,100
837,100,0,100
838,100,0,100
839,100,0,100
840,100,0,100
841,100,0,100
842,100,0,100
843,100,0,100
844,100,0,100
845,100,0,100
846,100,0,100
847,100,0,100
848,100,0,100
849,100,0,100
850,100,0,100
851,100,0,100
852,100,0,100
853,100,0,100
854,100,0,100
855,100,0,100
856,100,0,100
857,100,0,100
858,100,0,100
859,100,0,100
860,100,0,100
861,100,0,100
862,100,0,100
863,100,0,100
864,100,0,100
865,100,0,100
866,100,0,100
867,100,0,100
868,100,0,100
869,100,0,100
870,100,0,100
871,100,0,100
872,100,0,100
873,100,0,100
874,100,0,100
875,100,0,100
876,100,0,100
877,100,0,100
878,100,0,100
879,100,0,100
880,100,0,100
881,100,0,100
882,100,0,100
883,100,0,100
884,100,0,100
885,100,0,100
886,100,0,100
887,100,0,100
888,100,0,100
889,100,0,100
890,100,0,100
891,100,0,100
892,100,0,100
893,100,0,100
894,100,0,100
895,100,0,100
896,100,0,100
897,100,0,100
898,100,0,100
899,100,0,100
900,100,0,100
901,100,0,100
902,100,0,100
903,100,0,100
904,100,0,100
905,100,0,100
906,100,0,100
907,100,0,100
908,100,0,100
909,100,0,100
910,100,0,100
911,100,0,100
912,100,0,100
913,100,0,100
914,100,0,100
915,100,0,100
916,100,0,100
917,100,0,100
918,100,0,100
919,100,0,100
920,100,0,100
921,100,0,100
922,100,0,100
923,100,0,100
924,100,0,100
925,100,0,100
926,100,0,100
927,100,0,100
928,100,0,100
929,100,0,100
930,100,0,100
931,100,0,100
932,100,0,100
933,100,0,100
934,100,0,100
935,100,0,100
936,100,0,100
937,100,0,100
938,100,0,100
939,100,0,100
940,100,0,100
941,100,0,100
942,100,0,100
943,100,0,100
944,100,0,100
945,100,0,100
946,100,0,100
947,100,0,100
948,100,0,100
949,100,0,100
950,100,0,100
951,100,0,100
952,100,0,100
953,100,0,100
954,100,0,100
955,100,0,100
956,100,0,100
957,100,0,100
958,100,0,100
959,100,0,100
960,100,0,100
961,100,0,100
962,100,0,100
963,100,0,100
964,100,0,100
965,100,0,100
966,100,0,100
967,100,0,100
968,100,0,100
